Month,Yield_Pct,BTC_Return_Pct,ETH_Return_Pct,SP500_Return_Pct,Fund_NAV,BTC_NAV,ETH_NAV,SP500_NAV,Cum_Fund_Return_Pct,Cum_BTC_Return_Pct,Cum_ETH_Return_Pct,Cum_SP500_Return_Pct,Asset_Driver,Primary_Venue,Market_Regime
2022-11,0.92,-16.2,-17.5,5.38,100.92,83.8,82.5,105.38,0.92,-16.2,-17.5,5.38,BTC/ETH,BitMEX,Post-FTX Volatility
2022-12,0.88,-3.5,-2.6,-5.9,101.8081,80.867,80.355,99.1626,1.81,-19.13,-19.64,-0.84,BTC/ETH,BitMEX,Chop & Compression
2023-01,1.15,39.6,32.5,6.18,102.9789,112.8903,106.4704,105.2908,2.98,12.89,6.47,5.29,BTC/ETH,BitMEX,Bull Run Resumption
2023-02,0.98,0.0,1.2,-2.61,103.9881,112.8903,107.748,102.5427,3.99,12.89,7.75,2.54,BTC/ETH,BitMEX,Consolidation
2023-03,1.05,23.0,13.5,3.51,105.08,138.8551,122.294,106.142,5.08,38.86,22.29,6.14,BTC/ETH,BitMEX,US Banking Turmoil
2023-04,0.89,2.8,2.9,1.46,106.0152,142.7431,125.8405,107.6917,6.02,42.74,25.84,7.69,BTC/ETH,BitMEX,Post-Shapella Upgrade
2023-05,0.84,-7.0,-1.0,0.25,106.9057,132.751,124.5821,107.9609,6.91,32.75,24.58,7.96,BTC/ETH,BitMEX,Range Chop
2023-06,1.12,11.9,3.2,6.47,108.103,148.5484,128.5688,114.946,8.1,48.55,28.57,14.95,BTC/ETH,BitMEX,BlackRock Spot ETF Filing
2023-07,0.94,-4.1,-4.0,3.11,109.1192,142.4579,123.426,118.5208,9.12,42.46,23.43,18.52,XRP/BTC,BitMEX,Ripple Legal Milestone
2023-08,0.81,-11.3,-11.3,-1.77,110.0031,126.3602,109.4789,116.423,10.0,26.36,9.48,16.42,BTC/ETH,BitMEX,Summer Liquidation Cascade
2023-09,0.86,3.9,1.5,-4.87,110.9491,131.2882,111.121,110.7532,10.95,31.29,11.12,10.75,BTC/ETH,BitMEX,Quiet Consolidation
2023-10,1.28,28.5,8.7,-2.2,112.3692,168.7054,120.7886,108.3166,12.37,68.71,20.79,8.32,BTC/SOL,BitMEX/Binance,ETF Speculation Surge
2023-11,1.34,8.8,13.0,8.92,113.875,183.5514,136.4911,117.9784,13.87,83.55,36.49,17.98,SOL/BTC,BitMEX/Binance,Altcoin Basis Expansion
2023-12,1.42,12.2,11.1,4.42,115.492,205.9447,151.6416,123.1931,15.49,105.94,51.64,23.19,SOL/BTC/ETH,BitMEX/Binance,Pre-ETF High Basis
2024-01,1.38,0.7,2.7,1.59,117.0858,207.3863,155.7359,125.1518,17.09,107.39,55.74,25.15,BTC/ETH,BitMEX/Binance,Spot ETF Inception
2024-02,1.65,43.6,46.3,5.17,119.0177,297.8068,227.8417,131.6222,19.02,197.81,127.84,31.62,BTC/SOL/ETH,BitMEX/Binance,Massive Basis Surge
